o680519 o680519 1667
o680493 o680493 277
o680502 o680493 2
o680511 o680493 1
o680478 o680493 1
o680480 o680493 1
o680482 o680493 6
o680485 o680493 6
o680487 o680493 8
o680489 o680493 7
o680491 o680493 8
o680494 o680493 8
o680496 o680493 2
o680498 o680493 1
o680500 o680493 1
o680503 o680493 1
o680484 o680502 1
o680493 o680502 2
o680502 o680502 270
o680511 o680502 2
o680520 o680502 1
o680487 o680502 1
o680489 o680502 1
o680491 o680502 1
o680494 o680502 2
o680496 o680502 14
o680498 o680502 15
o680500 o680502 14
o680503 o680502 15
o680505 o680502 2
o680507 o680502 1
o680509 o680502 1
o680512 o680502 1
o680524 o680511 1
o680493 o680511 1
o680502 o680511 2
o680511 o680511 277
o680520 o680511 8
o680496 o680511 1
o680498 o680511 1
o680500 o680511 1
o680503 o680511 2
o680505 o680511 7
o680507 o680511 22
o680509 o680511 6
o680512 o680511 22
o680514 o680511 2
o680516 o680511 1
o680518 o680511 1
o680521 o680511 1
o680533 o680520 1
o680524 o680520 2
o680502 o680520 1
o680511 o680520 8
o680520 o680520 265
o680527 o680520 1
o680525 o680520 2
o680529 o680520 3
o680531 o680520 2
o680505 o680520 1
o680507 o680520 1
o680509 o680520 1
o680512 o680520 2
o680514 o680520 6
o680516 o680520 7
o680518 o680520 7
o680521 o680520 6
o680533 o680527 1
o680524 o680527 15
o680520 o680527 1
o680527 o680527 88
o680525 o680527 21
o680529 o680527 12
o680531 o680527 21
o680534 o680527 1
o680514 o680527 1
o680516 o680527 1
o680518 o680527 5
o680521 o680527 8
o680533 o680525 1
o680524 o680525 15
o680520 o680525 2
o680527 o680525 21
o680525 o680525 88
o680529 o680525 13
o680531 o680525 20
o680534 o680525 1
o680514 o680525 2
o680516 o680525 2
o680518 o680525 6
o680521 o680525 9
o680533 o680529 1
o680524 o680529 10
o680520 o680529 3
o680527 o680529 12
o680525 o680529 13
o680529 o680529 80
o680531 o680529 16
o680534 o680529 1
o680514 o680529 6
o680516 o680529 6
o680518 o680529 14
o680521 o680529 18
o680533 o680531 2
o680524 o680531 15
o680520 o680531 2
o680527 o680531 21
o680525 o680531 20
o680529 o680531 16
o680531 o680531 83
o680534 o680531 2
o680536 o680531 1
o680538 o680531 1
o680540 o680531 1
o680542 o680531 1
o680544 o680531 1
o680514 o680531 4
o680516 o680531 4
o680518 o680531 8
o680521 o680531 12
o680533 o680534 19
o680524 o680534 2
o680527 o680534 1
o680525 o680534 1
o680529 o680534 1
o680531 o680534 2
o680534 o680534 82
o680536 o680534 17
o680538 o680534 17
o680540 o680534 8
o680542 o680534 10
o680544 o680534 24
o680521 o680534 1
o680533 o680536 16
o680524 o680536 1
o680531 o680536 1
o680534 o680536 17
o680536 o680536 85
o680538 o680536 28
o680540 o680536 19
o680542 o680536 21
o680544 o680536 17
o680533 o680538 16
o680524 o680538 1
o680531 o680538 1
o680534 o680538 17
o680536 o680538 28
o680538 o680538 85
o680540 o680538 19
o680542 o680538 21
o680544 o680538 17
o680533 o680540 8
o680524 o680540 1
o680531 o680540 1
o680534 o680540 8
o680536 o680540 19
o680538 o680540 19
o680540 o680540 79
o680542 o680540 19
o680544 o680540 8
o680533 o680542 9
o680524 o680542 1
o680531 o680542 1
o680534 o680542 10
o680536 o680542 21
o680538 o680542 21
o680540 o680542 19
o680542 o680542 78
o680544 o680542 10
o680533 o680544 19
o680524 o680544 1
o680531 o680544 1
o680534 o680544 24
o680536 o680544 17
o680538 o680544 17
o680540 o680544 8
o680542 o680544 10
o680544 o680544 82
o680451 o680453 10
o680457 o680453 20
o680466 o680453 17
o680475 o680453 1
o680453 o680453 96
o680455 o680453 10
o680458 o680453 23
o680460 o680453 2
o680462 o680453 1
o680464 o680453 1
o680467 o680453 1
o680451 o680455 16
o680457 o680455 7
o680466 o680455 5
o680453 o680455 10
o680455 o680455 90
o680458 o680455 8
o680460 o680455 1
o680462 o680455 1
o680464 o680455 1
o680451 o680458 8
o680457 o680458 20
o680466 o680458 19
o680475 o680458 1
o680453 o680458 23
o680455 o680458 8
o680458 o680458 95
o680460 o680458 4
o680462 o680458 3
o680464 o680458 3
o680467 o680458 3
o680469 o680458 1
o680451 o680460 1
o680457 o680460 2
o680466 o680460 9
o680475 o680460 3
o680453 o680460 2
o680455 o680460 1
o680458 o680460 4
o680460 o680460 102
o680462 o680460 21
o680464 o680460 21
o680467 o680460 30
o680469 o680460 8
o680471 o680460 3
o680473 o680460 1
o680476 o680460 1
o680451 o680462 1
o680457 o680462 1
o680466 o680462 8
o680475 o680462 2
o680453 o680462 1
o680455 o680462 1
o680458 o680462 3
o680460 o680462 21
o680462 o680462 98
o680464 o680462 28
o680467 o680462 21
o680469 o680462 3
o680471 o680462 1
o680451 o680464 1
o680457 o680464 1
o680466 o680464 8
o680475 o680464 2
o680453 o680464 1
o680455 o680464 1
o680458 o680464 3
o680460 o680464 21
o680462 o680464 28
o680464 o680464 99
o680467 o680464 21
o680469 o680464 3
o680471 o680464 1
o680457 o680467 1
o680466 o680467 8
o680475 o680467 3
o680453 o680467 1
o680458 o680467 3
o680460 o680467 30
o680462 o680467 21
o680464 o680467 21
o680467 o680467 102
o680469 o680467 8
o680471 o680467 3
o680473 o680467 1
o680476 o680467 1
o680466 o680469 3
o680475 o680469 9
o680484 o680469 1
o680458 o680469 1
o680460 o680469 8
o680462 o680469 3
o680464 o680469 3
o680467 o680469 8
o680469 o680469 93
o680471 o680469 13
o680473 o680469 7
o680476 o680469 7
o680478 o680469 3
o680480 o680469 3
o680466 o680471 1
o680475 o680471 9
o680484 o680471 1
o680460 o680471 3
o680462 o680471 1
o680464 o680471 1
o680467 o680471 3
o680469 o680471 13
o680471 o680471 88
o680473 o680471 9
o680476 o680471 9
o680478 o680471 4
o680480 o680471 4
o680466 o680473 1
o680475 o680473 7
o680484 o680473 6
o680460 o680473 1
o680467 o680473 1
o680469 o680473 7
o680471 o680473 9
o680473 o680473 96
o680476 o680473 26
o680478 o680473 10
o680480 o680473 10
o680482 o680473 2
o680485 o680473 2
o680466 o680476 1
o680475 o680476 8
o680484 o680476 6
o680460 o680476 1
o680467 o680476 1
o680469 o680476 7
o680471 o680476 9
o680473 o680476 26
o680476 o680476 98
o680478 o680476 11
o680480 o680476 11
o680482 o680476 2
o680485 o680476 2
o680475 o680478 3
o680484 o680478 18
o680493 o680478 1
o680469 o680478 3
o680471 o680478 4
o680473 o680478 10
o680476 o680478 11
o680478 o680478 92
o680480 o680478 23
o680482 o680478 5
o680485 o680478 5
o680487 o680478 2
o680489 o680478 2
o680491 o680478 2
o680494 o680478 2
o680475 o680480 3
o680484 o680480 18
o680493 o680480 1
o680469 o680480 3
o680471 o680480 4
o680473 o680480 10
o680476 o680480 11
o680478 o680480 23
o680480 o680480 92
o680482 o680480 5
o680485 o680480 5
o680487 o680480 2
o680489 o680480 2
o680491 o680480 2
o680494 o680480 2
o680475 o680482 1
o680484 o680482 7
o680493 o680482 6
o680473 o680482 2
o680476 o680482 2
o680478 o680482 5
o680480 o680482 5
o680482 o680482 100
o680485 o680482 30
o680487 o680482 10
o680489 o680482 10
o680491 o680482 10
o680494 o680482 13
o680496 o680482 1
o680475 o680485 1
o680484 o680485 6
o680493 o680485 6
o680473 o680485 2
o680476 o680485 2
o680478 o680485 5
o680480 o680485 5
o680482 o680485 30
o680485 o680485 100
o680487 o680485 10
o680489 o680485 10
o680491 o680485 10
o680494 o680485 13
o680496 o680485 1
o680484 o680487 3
o680493 o680487 8
o680502 o680487 1
o680478 o680487 2
o680480 o680487 2
o680482 o680487 10
o680485 o680487 10
o680487 o680487 89
o680489 o680487 17
o680491 o680487 17
o680494 o680487 14
o680496 o680487 1
o680484 o680489 3
o680493 o680489 7
o680502 o680489 1
o680478 o680489 2
o680480 o680489 2
o680482 o680489 10
o680485 o680489 10
o680487 o680489 17
o680489 o680489 88
o680491 o680489 19
o680494 o680489 14
o680496 o680489 1
o680484 o680491 3
o680493 o680491 8
o680502 o680491 1
o680478 o680491 2
o680480 o680491 2
o680482 o680491 10
o680485 o680491 10
o680487 o680491 17
o680489 o680491 19
o680491 o680491 88
o680494 o680491 14
o680496 o680491 1
o680484 o680494 3
o680493 o680494 8
o680502 o680494 2
o680478 o680494 2
o680480 o680494 2
o680482 o680494 13
o680485 o680494 13
o680487 o680494 14
o680489 o680494 14
o680491 o680494 14
o680494 o680494 97
o680496 o680494 2
o680498 o680494 1
o680500 o680494 1
o680503 o680494 1
o680493 o680496 2
o680502 o680496 14
o680511 o680496 1
o680482 o680496 1
o680485 o680496 1
o680487 o680496 1
o680489 o680496 1
o680491 o680496 1
o680494 o680496 2
o680496 o680496 90
o680498 o680496 18
o680500 o680496 18
o680503 o680496 18
o680505 o680496 1
o680493 o680498 1
o680502 o680498 15
o680511 o680498 1
o680494 o680498 1
o680496 o680498 18
o680498 o680498 89
o680500 o680498 18
o680503 o680498 20
o680505 o680498 1
o680493 o680500 1
o680502 o680500 14
o680511 o680500 1
o680494 o680500 1
o680496 o680500 18
o680498 o680500 18
o680500 o680500 93
o680503 o680500 18
o680505 o680500 1
o680493 o680503 1
o680502 o680503 15
o680511 o680503 2
o680494 o680503 1
o680496 o680503 18
o680498 o680503 20
o680500 o680503 18
o680503 o680503 90
o680505 o680503 2
o680507 o680503 1
o680509 o680503 1
o680512 o680503 1
o680502 o680505 2
o680511 o680505 7
o680520 o680505 1
o680496 o680505 1
o680498 o680505 1
o680500 o680505 1
o680503 o680505 2
o680505 o680505 86
o680507 o680505 7
o680509 o680505 15
o680512 o680505 7
o680514 o680505 3
o680516 o680505 2
o680518 o680505 1
o680502 o680507 1
o680511 o680507 22
o680520 o680507 1
o680503 o680507 1
o680505 o680507 7
o680507 o680507 94
o680509 o680507 7
o680512 o680507 25
o680514 o680507 1
o680502 o680509 1
o680511 o680509 6
o680520 o680509 1
o680503 o680509 1
o680505 o680509 15
o680507 o680509 7
o680509 o680509 84
o680512 o680509 7
o680514 o680509 3
o680516 o680509 2
o680518 o680509 1
o680502 o680512 1
o680511 o680512 22
o680520 o680512 2
o680503 o680512 1
o680505 o680512 7
o680507 o680512 25
o680509 o680512 7
o680512 o680512 95
o680514 o680512 2
o680516 o680512 1
o680518 o680512 1
o680521 o680512 1
o680524 o680514 2
o680511 o680514 2
o680520 o680514 6
o680527 o680514 1
o680525 o680514 2
o680529 o680514 6
o680531 o680514 4
o680505 o680514 3
o680507 o680514 1
o680509 o680514 3
o680512 o680514 2
o680514 o680514 94
o680516 o680514 19
o680518 o680514 15
o680521 o680514 13
o680524 o680516 2
o680511 o680516 1
o680520 o680516 7
o680527 o680516 1
o680525 o680516 2
o680529 o680516 6
o680531 o680516 4
o680505 o680516 2
o680509 o680516 2
o680512 o680516 1
o680514 o680516 19
o680516 o680516 93
o680518 o680516 15
o680521 o680516 13
o680524 o680518 4
o680511 o680518 1
o680520 o680518 7
o680527 o680518 5
o680525 o680518 6
o680529 o680518 14
o680531 o680518 8
o680505 o680518 1
o680509 o680518 1
o680512 o680518 1
o680514 o680518 15
o680516 o680518 15
o680518 o680518 95
o680521 o680518 21
o680524 o680521 6
o680511 o680521 1
o680520 o680521 6
o680527 o680521 8
o680525 o680521 9
o680529 o680521 18
o680531 o680521 12
o680534 o680521 1
o680512 o680521 1
o680514 o680521 13
o680516 o680521 13
o680518 o680521 21
o680521 o680521 97
o680550 o680550 19
o680549 o680550 3
o680550 o680549 3
o680549 o680549 18
end : 5.1894707679748535
