0.00 0.00 ^ p11088 (in)
17.34 2705.30 v A5_B3_C4_D14_E23_E18_F6_H7_G7_o617570/o (INV_Z4)
16.91 2722.21 ^ A5_B3_C4_D14_E23_E18_F6_H7_G7_o617571/o (INV_Z8)
21.05 2743.26 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_o680543/o55 (block_420x7605_985)
11.74 2754.99 v FE_OFC82581_n123584/o (INV_Z10)
21.62 2776.61 ^ FE_OFC82583_n123584/o (INV_Z8)
23.61 2800.22 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527645/o (NAND2_Z20)
24.27 2824.50 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527646/o (NAND2_Z20)
24.73 2849.22 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527647/o (NOR2_Z20)
25.16 2874.39 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527648/o (NAND2_Z20)
24.77 2899.16 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527649/o (NAND2_Z20)
31.66 2930.82 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527650/o (NOR2_Z20)
26.44 2957.26 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527651/o (NAND2_Z40)
24.00 2981.26 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527652/o (NAND2_Z40)
23.55 3004.81 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527653/o (NOR2_Z40)
23.61 3028.42 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527654/o (NAND2_Z40)
21.26 3049.68 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527655/o (NAND2_Z40)
22.88 3072.56 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527656/o (NAND2_Z20)
23.56 3096.13 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527657/o (NOR2_Z20)
30.33 3126.45 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527658/o (NOR2_Z20)
26.64 3153.09 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527659/o (NOR2_Z40)
20.60 3173.69 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527660/o (NOR2_Z40)
26.31 3199.99 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527661/o (NOR2_Z20)
21.81 3221.81 ^ FE_OCPC292002_n614538/o (INV_Z20)
11.52 3233.32 v FE_OCPC292004_n614538/o (INV_Z40)
19.43 3252.75 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527662/o (NAND2_Z20)
22.96 3275.71 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527663/o (NAND2_Z20)
24.74 3300.45 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527664/o (NOR2_Z20)
24.96 3325.41 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527665/o (NOR2_Z20)
24.96 3350.38 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527666/o (NOR2_Z20)
24.23 3374.61 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527667/o (NOR2_Z20)
23.25 3397.85 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527668/o (NAND2_Z20)
23.07 3420.93 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527669/o (NOR2_Z20)
30.03 3450.96 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527670/o (NAND2_Z20)
25.69 3476.65 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527671/o (NOR2_Z40)
25.17 3501.82 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527672/o (NOR2_Z40)
21.04 3522.86 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527673/o (NAND2_Z40)
23.72 3546.58 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527674/o (NAND2_Z20)
24.32 3570.90 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527675/o (NAND2_Z20)
23.31 3594.21 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527676/o (NAND2_Z20)
22.95 3617.16 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527677/o (NOR2_Z20)
24.03 3641.19 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527678/o (NAND2_Z20)
25.05 3666.24 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527679/o (NOR2_Z20)
24.37 3690.61 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527680/o (NAND2_Z20)
24.37 3714.99 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527681/o (NAND2_Z20)
24.44 3739.43 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527682/o (NOR2_Z20)
24.47 3763.90 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527683/o (NOR2_Z20)
24.47 3788.37 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527684/o (NOR2_Z20)
23.42 3811.78 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527685/o (NOR2_Z20)
23.00 3834.78 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527686/o (NOR2_Z20)
23.89 3858.67 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527687/o (NOR2_Z20)
24.13 3882.80 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527688/o (NAND2_Z20)
24.33 3907.13 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527689/o (NOR2_Z20)
30.39 3937.51 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527690/o (NAND2_Z20)
25.61 3963.13 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527691/o (NAND2_Z40)
23.20 3986.32 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527692/o (NAND2_Z40)
24.13 4010.45 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527693/o (NOR2_Z40)
24.22 4034.67 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527694/o (NAND2_Z40)
24.17 4058.84 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527695/o (NOR2_Z40)
23.34 4082.19 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527696/o (NAND2_Z40)
23.59 4105.77 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527697/o (NOR2_Z40)
24.22 4130.00 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527698/o (NOR2_Z40)
24.17 4154.17 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527699/o (NAND2_Z40)
24.22 4178.39 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527700/o (NOR2_Z40)
23.26 4201.64 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527701/o (NOR2_Z40)
23.14 4224.79 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527702/o (NAND2_Z40)
23.20 4247.98 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527703/o (NAND2_Z40)
23.17 4271.15 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527704/o (NAND2_Z40)
23.39 4294.54 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527705/o (NAND2_Z40)
23.92 4318.47 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527706/o (NAND2_Z40)
23.88 4342.34 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527707/o (NAND2_Z40)
24.02 4366.37 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527708/o (NOR2_Z40)
23.28 4389.65 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527709/o (NAND2_Z40)
44.62 4434.27 ^ FE_OCPC290437_n615284/o (INV_Z1)
27.51 4461.78 v FE_OCPC290438_n615284/o (INV_Z6)
43.40 4505.18 ^ FE_OCPC290273_n615284/o (INV_Z1)
43.46 4548.64 v FE_OCPC290272_n615284/o (INV_Z6)
18.71 4567.35 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_o527050/o (INV_X20)
23.40 4590.75 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_o680543/o126 (block_420x7605_985)
13.30 4604.05 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_o527967/o (INV_Z6)
31.25 4635.30 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_o526855_1/o (NOR3_X4)
47.92 4683.22 v FE_OFC241758_n614939_1/o (INV_Z1)
16.62 4699.84 ^ FE_OFC241759_n614939_1/o (INV_Z6)
116.80 4816.64 v A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_o526855/o (NAND4_Z1)
87.81 4904.45 ^ FE_OFC286501_n614939/o (INV_Z1)
19.18 4923.62 v FE_OFC286502_n614939/o (INV_Z8)
31.85 4955.47 ^ FE_OFC251644_n614939/o (INV_Z1)
36.85 4992.33 v FE_OFC251645_n614939/o (INV_Y4)
19.00 5011.33 ^ o670368/o (INV_Z10)
8.64 5019.97 v FE_OFC288311_n615640/o (INV_Z10)
27.81 5047.78 ^ FE_OFC288312_n615640/o (INV_Z1)
0.00 5047.78 ^ A1_B3_C4_D14_E23_E18_F6_H7_G7_H2_K1_o527809/d (DFF_X80)
